StationNumber;StartDate; EndDate;Latitude;Longitude;Elevation;StationName                             ;RegioName             ;EOR
        47710; 19990407;20221124; 46.4942;  19.7450;    104.2;Kiskunmajsa                             ;Bács-Kiskun           ;EOR
        48101; 19950503;20221124; 46.1797;  19.0106;    111.0;Baja Csillagvizsgáló                    ;Bács-Kiskun           ;EOR
        48302; 19980915;20221124; 46.1956;  19.6064;    132.3;Kelebia                                 ;Bács-Kiskun           ;EOR
        48507; 20140611;20221124; 46.0378;  19.1997;    110.3;Katymár                                 ;Bács-Kiskun           ;EOR
        51705; 19960918;20221124; 48.4953;  20.5361;    307.9;Jósvafő                                 ;Borsod-Abaúj-Zemplén  ;EOR
        51812; 20210603;20221124; 48.4414;  20.9458;    227.0;Gagybátor                               ;Borsod-Abaúj-Zemplén  ;EOR
        52309; 20001019;20221124; 48.2869;  20.7419;    130.6;Edelény                                 ;Borsod-Abaúj-Zemplén  ;EOR
        52313; 20221001;20221001; 48.2872;  20.7414;    130.6;Edelény                                 ;Borsod-Abaúj-Zemplén  ;EOR
        52409; 20210811;20221124; 48.2078;  20.9514;    120.0;Szikszó Vízmű                           ;Borsod-Abaúj-Zemplén  ;EOR
        52523; 19981231;20221124; 48.1414;  20.0558;    224.6;Zabar                                   ;Nógrád                ;EOR
        52614; 20210708;20221124; 48.1442;  20.3736;    278.0;Lénárddaróc                             ;Borsod-Abaúj-Zemplén  ;EOR
        52733; 19981204;20221124; 48.1219;  20.5244;    751.4;Miskolc Szentlélek                      ;Borsod-Abaúj-Zemplén  ;EOR
        52744; 20130627;20221124; 48.0947;  20.7267;    161.0;Miskolc Diósgyőr                        ;Borsod-Abaúj-Zemplén  ;EOR
        53101; 19950514;20221124; 47.8722;  20.0128;   1010.8;Kékestető                               ;Heves                 ;EOR
        53215; 20060615;20221124; 47.9039;  20.3889;    224.2;Eger                                    ;Heves                 ;EOR
        53407; 20210906;20221124; 47.8425;  20.8058;     97.0;Gelej                                   ;Borsod-Abaúj-Zemplén  ;EOR
        53521; 20001130;20221124; 47.7397;  20.2358;    122.3;Kompolt                                 ;Heves                 ;EOR
        53811; 20210818;20221124; 47.6783;  20.9878;     93.0;Tiszacsege                              ;Hajdú-Bihar           ;EOR
        54107; 19980810;20221124; 47.5200;  20.1489;     93.4;Jászapáti                               ;Jász-Nagykun-Szolnok  ;EOR
        54309; 20140521;20221124; 47.6561;  20.6536;     90.7;Poroszló                                ;Heves                 ;EOR
        54817; 20061107;20221124; 47.4656;  20.8908;     87.8;Kunmadaras külterület                   ;Jász-Nagykun-Szolnok  ;EOR
        55211; 20051104;20221124; 47.1836;  20.4694;     86.3;Törökszentmiklós                        ;Jász-Nagykun-Szolnok  ;EOR
